TEAM_1,OPPONENT,OUTCOME,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,PTS_2,FGM_2,FGA_2,FG%_2,3PM_2,3PA_2,3P%_2,FTM_2,FTA_2,FT%_2,OREB_2,DREB_2,REB_2,AST_2,STL_2,BLK_2,TOV_2,PF_2,differential_2
OKC,MIL,L,240,93,33,89,37.1,10,43,23.3,17,22,77.3,10,27,37,20,9,1,12,16,-25,118,49,92,53.3,11,34,32.4,9,14,64.3,15,42,57,33,7,5,17,21,25
BKN,NYK,L,240,93,34,76,44.7,12,34,35.3,13,15,86.7,8,33,41,26,5,6,15,15,-12,105,42,97,43.3,15,40,37.5,6,12,50,16,31,47,25,10,4,10,15,12
SAC,ORL,W,240,109,38,87,43.7,15,40,37.5,18,21,85.7,6,36,42,26,6,5,7,19,2,107,42,88,47.7,10,35,28.6,13,18,72.2,12,37,49,27,5,3,13,20,-2
CHA,ATL,L,240,91,35,84,41.7,11,39,28.2,10,14,71.4,11,28,39,25,3,4,15,9,-41,132,50,90,55.6,20,42,47.6,12,14,85.7,11,32,43,40,9,5,9,14,41
CHI,BOS,L,240,113,47,82,57.3,9,24,37.5,10,11,90.9,3,26,29,36,7,3,7,18,-11,124,44,86,51.2,21,48,43.8,15,17,88.2,12,29,41,28,5,3,12,9,11
PHX,SAS,W,240,131,56,94,59.6,11,24,45.8,8,10,80,7,32,39,38,11,5,10,18,25,106,40,85,47.1,9,33,27.3,17,21,81,8,26,34,27,6,6,15,9,-25
HOU,UTA,W,240,147,54,97,55.7,27,49,55.1,12,14,85.7,12,32,44,31,7,3,9,26,28,119,40,89,44.9,11,37,29.7,28,33,84.8,12,28,40,24,2,4,10,11,-28
WAS,TOR,W,240,112,44,92,47.8,11,35,31.4,13,19,68.4,16,39,55,28,7,8,18,18,3,109,40,94,42.6,8,33,24.2,21,26,80.8,13,29,42,27,9,7,12,20,-3
POR,DEN,L,240,111,43,93,46.2,10,28,35.7,15,17,88.2,14,31,45,27,8,8,16,24,-3,114,41,91,45.1,8,24,33.3,24,33,72.7,19,30,49,25,8,9,14,17,3
GSW,IND,L,240,111,43,106,40.6,14,48,29.2,11,16,68.8,24,40,64,24,6,6,14,15,-12,123,48,99,48.5,15,36,41.7,12,16,75,12,38,50,32,8,10,11,14,12
CLE,MIN,L,240,91,34,81,42,7,29,24.1,16,19,84.2,10,31,41,22,6,5,12,14,-13,104,41,85,48.2,14,27,51.9,8,16,50,13,33,46,27,9,5,12,12,13
SAS,MEM,L,240,97,37,95,38.9,7,38,18.4,16,23,69.6,15,41,56,24,12,7,16,23,-2,99,33,82,40.2,12,34,35.3,21,31,67.7,9,42,51,18,10,4,18,17,2
MIA,NOP,L,240,88,31,86,36,13,47,27.7,13,15,86.7,7,27,34,22,3,4,6,9,-23,111,42,82,51.2,18,36,50,9,12,75,12,44,56,25,3,2,13,13,23
TOR,OKC,L,240,103,40,76,52.6,11,30,36.7,12,17,70.6,5,31,36,34,12,3,27,18,-20,123,48,95,50.5,12,32,37.5,15,19,78.9,13,33,46,27,17,5,16,20,20
DET,BOS,L,240,102,42,83,50.6,9,31,29,9,13,69.2,8,34,42,25,4,1,19,23,-27,129,47,89,52.8,16,45,35.6,19,27,70.4,8,27,35,31,9,5,7,15,27
LAC,POR,W,240,125,44,77,57.1,14,33,42.4,23,27,85.2,7,33,40,26,8,8,17,21,8,117,45,93,48.4,12,33,36.4,15,25,60,15,26,41,29,11,1,10,19,-8
PHI,LAL,L,240,94,33,96,34.4,8,37,21.6,20,24,83.3,13,29,42,20,13,7,9,23,-7,101,32,73,43.8,12,31,38.7,25,33,75.8,11,43,54,22,1,7,21,16,7
HOU,CHI,W,240,127,47,93,50.5,17,45,37.8,16,20,80,13,36,49,27,7,6,16,21,10,117,42,93,45.2,12,31,38.7,21,25,84,12,31,43,23,8,3,11,17,-10
DAL,UTA,W,240,113,43,86,50,10,32,31.3,17,28,60.7,11,32,43,33,12,3,13,20,16,97,38,83,45.8,4,30,13.3,17,19,89.5,5,33,38,29,6,3,18,23,-16
NYK,DEN,L,240,100,38,79,48.1,11,31,35.5,13,17,76.5,4,27,31,28,6,6,10,18,-13,113,45,84,53.6,6,20,30,17,20,85,9,33,42,31,5,4,10,14,13
ORL,NOP,W,240,121,47,86,54.7,14,36,38.9,13,19,68.4,10,30,40,33,12,4,16,16,15,106,42,78,53.8,6,20,30,16,21,76.2,3,30,33,24,11,1,19,18,-15
PHX,ATL,W,240,128,41,74,55.4,22,41,53.7,24,27,88.9,7,31,38,28,4,11,17,19,13,115,40,91,44,12,35,34.3,23,29,79.3,12,24,36,27,11,3,11,23,-13
BKN,MIL,L,240,108,41,92,44.6,13,44,29.5,13,16,81.3,15,34,49,29,7,1,14,12,-7,115,43,91,47.3,16,41,39,13,15,86.7,11,29,40,27,5,4,10,17,7
WAS,SAC,W,240,109,41,81,50.6,10,25,40,17,23,73.9,10,35,45,20,9,3,20,19,7,102,37,86,43,11,39,28.2,17,19,89.5,10,27,37,21,12,7,15,20,-7
GSW,MEM,W,240,137,58,100,58,19,39,48.7,2,6,33.3,13,35,48,43,6,5,7,17,21,116,42,96,43.8,18,49,36.7,14,18,77.8,16,29,45,29,4,3,12,15,-21
PHI,PHX,L,240,102,41,95,43.2,13,37,35.1,7,18,38.9,13,27,40,33,12,7,11,12,-13,115,45,90,50,19,39,48.7,6,8,75,14,41,55,34,7,12,23,18,13
POR,LAC,L,240,103,39,81,48.1,15,34,44.1,10,15,66.7,8,30,38,21,6,4,17,16,-13,116,45,86,52.3,13,31,41.9,13,15,86.7,8,34,42,29,15,7,12,13,13
BOS,MIL,W,240,122,40,85,47.1,18,40,45,24,29,82.8,11,26,37,25,6,5,9,18,3,119,45,84,53.6,17,35,48.6,12,14,85.7,9,32,41,20,3,6,15,25,-3
UTA,OKC,L,240,107,40,90,44.4,10,36,27.8,17,18,94.4,11,36,47,20,6,5,16,22,-12,119,43,88,48.9,10,34,29.4,23,29,79.3,10,35,45,29,10,7,10,16,12
SAC,TOR,W,240,123,48,93,51.6,12,40,30,15,18,83.3,18,35,53,32,14,6,16,16,34,89,33,80,41.3,10,31,32.3,13,18,72.2,11,20,31,21,11,3,22,15,-34
