TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,,,,,,,,,,,,,,,,,,,,,,,,,
UTA,UTA @ HOU,01/20/2024,L,265,126,48,105,45.7,13,43,30.2,17,22,77.3,16,43,59,28,4,8,17,24,-1,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,HOU vs. UTA,01/20/2024,W,265,127,50,117,42.7,13,39,33.3,14,22,63.6,23,33,56,27,11,10,7,22,1,,,,,,,,,,,,,,,,,,,,,,,,,
MEM,MEM @ CHI,01/20/2024,L,240,96,32,75,42.7,13,42,31,19,23,82.6,3,29,32,28,6,4,16,13,-29,,,,,,,,,,,,,,,,,,,,,,,,,
NYK,NYK vs. TOR,01/20/2024,W,240,126,48,88,54.5,14,39,35.9,16,20,80,15,46,61,27,4,7,22,20,26,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,TOR @ NYK,01/20/2024,L,240,100,38,92,41.3,11,34,32.4,13,23,56.5,11,20,31,29,10,5,10,18,-26,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,ATL vs. CLE,01/20/2024,L,240,95,37,93,39.8,11,38,28.9,10,15,66.7,11,34,45,25,5,4,11,15,-21,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,CLE @ ATL,01/20/2024,W,240,116,43,85,50.6,16,43,37.2,14,16,87.5,4,45,49,32,7,6,14,16,21,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,CHI vs. MEM,01/20/2024,W,240,125,47,91,51.6,14,33,42.4,17,21,81,13,39,52,32,11,5,12,18,29,,,,,,,,,,,,,,,,,,,,,,,,,
OKC,OKC @ MIN,01/20/2024,W,240,102,32,81,39.5,8,24,33.3,30,35,85.7,9,28,37,21,12,4,8,20,5,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,MIN vs. OKC,01/20/2024,L,240,97,31,75,41.3,14,37,37.8,21,29,72.4,9,41,50,22,4,7,21,26,-5,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,SAS @ WAS,01/20/2024,W,240,131,51,96,53.1,12,31,38.7,17,23,73.9,14,35,49,38,6,10,17,19,4,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,PHI @ CHA,01/20/2024,W,240,97,36,85,42.4,5,25,20,20,24,83.3,6,40,46,21,7,6,10,12,8,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHA vs. PHI,01/20/2024,L,240,89,35,85,41.2,9,37,24.3,10,14,71.4,7,40,47,23,2,7,17,20,-8,,,,,,,,,,,,,,,,,,,,,,,,,
MIL,MIL @ DET,01/20/2024,W,240,141,47,85,55.3,12,32,37.5,35,49,71.4,8,41,49,30,6,6,10,18,6,,,,,,,,,,,,,,,,,,,,,,,,,
DET,DET vs. MIL,01/20/2024,L,240,135,44,94,46.8,21,37,56.8,26,32,81.3,9,31,40,30,6,2,9,30,-6,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,WAS vs. SAS,01/20/2024,L,240,127,49,103,47.6,9,29,31,20,23,87,14,32,46,28,10,4,12,21,-4,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,ORL vs. PHI,01/19/2024,L,240,109,37,78,47.4,10,23,43.5,25,27,92.6,11,25,36,24,3,5,16,23,-15,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,PHI @ ORL,01/19/2024,W,240,124,42,87,48.3,13,30,43.3,27,29,93.1,16,26,42,23,11,5,8,23,15,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,SAS @ CHA,01/19/2024,L,240,120,47,84,56,15,32,46.9,11,17,64.7,7,27,34,36,9,3,13,17,-4,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHA vs. SAS,01/19/2024,W,240,124,47,84,56,16,29,55.2,14,16,87.5,10,30,40,25,9,4,18,16,4,,,,,,,,,,,,,,,,,,,,,,,,,
LAL,LAL vs. BKN,01/19/2024,L,240,112,40,90,44.4,12,33,36.4,20,24,83.3,10,34,44,31,7,3,14,11,-18,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,DEN @ BOS,01/19/2024,W,240,102,42,81,51.9,8,31,25.8,10,13,76.9,10,37,47,20,0,3,11,13,2,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,BOS vs. DEN,01/19/2024,L,240,100,38,89,42.7,14,44,31.8,10,14,71.4,12,26,38,21,5,2,3,17,-2,,,,,,,,,,,,,,,,,,,,,,,,,
PHX,PHX @ NOP,01/19/2024,W,240,123,46,93,49.5,15,41,36.6,16,21,76.2,7,41,48,32,7,3,10,17,14,,,,,,,,,,,,,,,,,,,,,,,,,
NOP,NOP vs. PHX,01/19/2024,L,240,109,41,93,44.1,10,42,23.8,17,23,73.9,9,33,42,27,4,5,11,16,-14,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,ATL @ MIA,01/19/2024,W,240,109,40,87,46,15,35,42.9,14,17,82.4,9,29,38,23,6,2,15,20,1,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,MIA vs. ATL,01/19/2024,L,240,108,38,82,46.3,12,31,38.7,20,22,90.9,13,31,44,21,7,2,18,17,-1,,,,,,,,,,,,,,,,,,,,,,,,,
POR,POR vs. IND,01/19/2024,W,240,118,42,84,50,4,12,33.3,30,35,85.7,9,38,47,18,3,11,11,21,3,,,,,,,,,,,,,,,,,,,,,,,,,
IND,IND @ POR,01/19/2024,L,240,115,39,91,42.9,20,47,42.6,17,25,68,6,31,37,34,3,6,14,26,-3,,,,,,,,,,,,,,,,,,,,,,,,,
BKN,BKN @ LAL,01/19/2024,W,240,130,50,95,52.6,19,47,40.4,11,14,78.6,8,33,41,31,10,4,11,17,18,,,,,,,,,,,,,,,,,,,,,,,,,
UTA,UTA vs. OKC,01/18/2024,L,240,129,43,89,48.3,13,32,40.6,30,36,83.3,11,27,38,33,7,4,15,21,-5,,,,,,,,,,,,,,,,,,,,,,,,,
IND,IND @ SAC,01/18/2024,W,240,126,49,89,55.1,13,33,39.4,15,19,78.9,4,30,34,33,5,6,12,20,5,,,,,,,,,,,,,,,,,,,,,,,,,
SAC,SAC vs. IND,01/18/2024,L,240,121,44,85,51.8,15,37,40.5,18,32,56.3,8,30,38,27,7,6,11,20,-5,,,,,,,,,,,,,,,,,,,,,,,,,
OKC,OKC @ UTA,01/18/2024,W,240,134,48,86,55.8,14,32,43.8,24,28,85.7,7,31,38,36,8,10,16,29,5,,,,,,,,,,,,,,,,,,,,,,,,,
MEM,MEM @ MIN,01/18/2024,L,240,103,39,85,45.9,14,34,41.2,11,17,64.7,8,26,34,22,9,4,15,23,-15,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,MIN vs. MEM,01/18/2024,W,240,118,45,82,54.9,12,28,42.9,16,21,76.2,6,33,39,30,8,9,15,13,15,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,WAS @ NYK,01/18/2024,L,240,109,41,90,45.6,10,31,32.3,17,22,77.3,9,37,46,31,9,4,12,24,-4,,,,,,,,,,,,,,,,,,,,,,,,,
NYK,NYK vs. WAS,01/18/2024,W,240,113,39,86,45.3,13,38,34.2,22,26,84.6,7,40,47,22,6,5,17,18,4,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,CHI @ TOR,01/18/2024,W,240,116,48,91,52.7,6,24,25,14,17,82.4,9,33,42,30,7,5,12,22,6,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,TOR vs. CHI,01/18/2024,L,240,110,42,83,50.6,10,38,26.3,16,20,80,7,31,38,31,7,5,14,18,-6,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,ATL vs. ORL,01/17/2024,W,240,106,39,76,51.3,8,25,32,20,22,90.9,10,31,41,21,8,2,23,17,2,,,,,,,,,,,,,,,,,,,,,,,,,
BKN,BKN @ POR,01/17/2024,L,240,103,35,73,47.9,15,38,39.5,18,27,66.7,6,27,33,28,9,3,11,14,-2,,,,,,,,,,,,,,,,,,,,,,,,,
POR,POR vs. BKN,01/17/2024,W,240,105,42,86,48.8,9,27,33.3,12,14,85.7,10,31,41,21,2,2,13,16,2,,,,,,,,,,,,,,,,,,,,,,,,,
DAL,DAL @ LAL,01/17/2024,L,240,110,42,91,46.2,11,40,27.5,15,18,83.3,11,32,43,26,4,5,15,19,-17,,,,,,,,,,,,,,,,,,,,,,,,,
LAL,LAL vs. DAL,01/17/2024,W,240,127,49,91,53.8,12,28,42.9,17,24,70.8,9,36,45,33,8,1,11,15,17,,,,,,,,,,,,,,,,,,,,,,,,,
NOP,NOP vs. CHA,01/17/2024,W,240,132,44,88,50,25,47,53.2,19,23,82.6,16,34,50,32,11,3,13,14,20,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHA @ NOP,01/17/2024,L,240,112,39,90,43.3,19,45,42.2,15,18,83.3,15,26,41,29,7,8,14,19,-20,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,BOS vs. SAS,01/17/2024,W,240,117,42,90,46.7,18,38,47.4,15,19,78.9,12,42,54,22,5,6,14,15,19,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,MIA @ TOR,01/17/2024,L,240,97,41,90,45.6,6,28,21.4,9,12,75,12,25,37,24,4,5,14,13,-24,,,,,,,,,,,,,,,,,,,,,,,,,
DET,DET vs. MIN,01/17/2024,L,240,117,46,89,51.7,12,31,38.7,13,19,68.4,8,32,40,30,4,7,12,18,-7,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,MIN @ DET,01/17/2024,W,240,124,47,93,50.5,15,30,50,15,21,71.4,9,33,42,32,7,5,11,14,7,,,,,,,,,,,,,,,,,,,,,,,,,
NYK,NYK vs. HOU,01/17/2024,W,240,109,39,87,44.8,13,37,35.1,18,22,81.8,12,39,51,24,6,5,15,20,15,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,HOU @ NYK,01/17/2024,L,240,94,35,84,41.7,8,30,26.7,16,19,84.2,6,32,38,23,6,9,10,18,-15,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,ORL @ ATL,01/17/2024,L,240,104,39,88,44.3,10,35,28.6,16,22,72.7,16,24,40,18,16,8,13,22,-2,,,,,,,,,,,,,,,,,,,,,,,,,
MIL,MIL @ CLE,01/17/2024,L,240,95,38,95,40,12,42,28.6,7,10,70,9,27,36,19,6,6,10,18,-40,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,CLE vs. MIL,01/17/2024,W,240,135,55,93,59.1,12,28,42.9,13,19,68.4,11,44,55,36,5,3,11,9,40,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,TOR vs. MIA,01/17/2024,W,240,121,45,88,51.1,20,38,52.6,11,18,61.1,13,32,45,34,9,4,12,14,24,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,SAS @ BOS,01/17/2024,L,240,98,39,93,41.9,7,34,20.6,13,16,81.3,11,30,41,26,5,3,10,15,-19,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,PHI vs. DEN,01/16/2024,W,240,126,43,76,56.6,15,31,48.4,25,34,73.5,5,27,32,27,6,7,8,21,5,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,DEN @ PHI,01/16/2024,L,240,121,45,89,50.6,12,29,41.4,19,25,76,16,30,46,23,4,3,11,19,-5,,,,,,,,,,,,,,,,,,,,,,,,,
PHX,PHX vs. SAC,01/16/2024,W,240,119,42,85,49.4,17,37,45.9,18,20,90,8,38,46,32,7,6,20,15,2,,,,,,,,,,,,,,,,,,,,,,,,,
SAC,SAC @ PHX,01/16/2024,L,240,117,46,92,50,18,40,45,7,12,58.3,5,26,31,34,7,4,14,20,-2,,,,,,,,,,,,,,,,,,,,,,,,,
OKC,OKC @ LAC,01/16/2024,L,240,117,42,83,50.6,16,34,47.1,17,20,85,9,26,35,30,5,5,12,19,-11,,,,,,,,,,,,,,,,,,,,,,,,,
LAC,LAC vs. OKC,01/16/2024,W,240,128,47,87,54,20,43,46.5,14,23,60.9,12,27,39,30,5,10,10,18,11,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,HOU @ PHI,01/15/2024,L,240,115,44,88,50,8,27,29.6,19,32,59.4,16,30,46,21,7,9,13,23,-9,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,PHI vs. HOU,01/15/2024,W,240,124,40,83,48.2,15,31,48.4,29,34,85.3,8,33,41,25,8,4,11,24,9,,,,,,,,,,,,,,,,,,,,,,,,,
DAL,DAL vs. NOP,01/15/2024,W,240,125,39,85,45.9,18,43,41.9,29,35,82.9,13,29,42,24,4,6,12,29,5,,,,,,,,,,,,,,,,,,,,,,,,,
NOP,NOP @ DAL,01/15/2024,L,240,120,41,81,50.6,7,23,30.4,31,41,75.6,8,29,37,21,9,2,10,28,-5,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,WAS vs. DET,01/15/2024,L,240,117,44,95,46.3,19,41,46.3,10,11,90.9,8,25,33,30,8,7,8,19,-12,,,,,,,,,,,,,,,,,,,,,,,,,
DET,DET @ WAS,01/15/2024,W,240,129,50,90,55.6,12,31,38.7,17,23,73.9,12,40,52,30,4,10,16,13,12,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,ORL @ NYK,01/15/2024,W,240,98,38,85,44.7,8,29,27.6,14,21,66.7,13,33,46,26,2,3,8,20,4,,,,,,,,,,,,,,,,,,,,,,,,,
NYK,NYK vs. ORL,01/15/2024,L,240,94,33,83,39.8,13,40,32.5,15,22,68.2,13,28,41,20,3,3,10,20,-4,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,SAS @ ATL,01/15/2024,L,240,99,38,95,40,11,42,26.2,12,17,70.6,9,35,44,27,10,8,18,18,-10,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,ATL vs. SAS,01/15/2024,W,240,109,40,93,43,13,38,34.2,16,21,76.2,13,44,57,24,8,6,20,19,10,,,,,,,,,,,,,,,,,,,,,,,,,
MEM,MEM vs. GSW,01/15/2024,W,240,116,32,86,37.2,20,54,37,32,40,80,11,31,42,24,13,10,13,12,9,,,,,,,,,,,,,,,,,,,,,,,,,
GSW,GSW @ MEM,01/15/2024,L,240,107,44,90,48.9,10,31,32.3,9,10,90,7,38,45,28,4,6,19,25,-9,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,CLE vs. CHI,01/15/2024,W,240,109,39,95,41.1,20,57,35.1,11,11,100,13,35,48,28,9,3,14,14,18,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,CHI @ CLE,01/15/2024,L,240,91,35,83,42.2,9,32,28.1,12,16,75,6,37,43,21,8,6,19,17,-18,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,BOS @ TOR,01/15/2024,W,240,105,33,82,40.2,16,39,41,23,25,92,5,48,53,20,3,7,13,16,9,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,TOR vs. BOS,01/15/2024,L,240,96,38,95,40,4,32,12.5,16,21,76.2,9,43,52,25,6,2,7,21,-9,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,MIA @ BKN,01/15/2024,W,265,96,33,87,37.9,8,31,25.8,22,25,88,6,48,54,22,6,4,13,16,1,,,,,,,,,,,,,,,,,,,,,,,,,
BKN,BKN vs. MIA,01/15/2024,L,265,95,34,99,34.3,12,55,21.8,15,16,93.8,9,41,50,26,9,9,8,17,-1,,,,,,,,,,,,,,,,,,,,,,,,,
UTA,UTA vs. IND,01/15/2024,W,240,132,45,81,55.6,11,25,44,31,35,88.6,10,36,46,29,5,8,15,17,27,,,,,,,,,,,,,,,,,,,,,,,,,
IND,IND @ UTA,01/15/2024,L,240,105,38,95,40,9,31,29,20,25,80,18,25,43,27,9,4,14,31,-27,,,,,,,,,,,,,,,,,,,,,,,,,
LAL,LAL vs. OKC,01/15/2024,W,240,112,44,84,52.4,8,24,33.3,16,18,88.9,8,36,44,30,7,9,17,12,7,,,,,,,,,,,,,,,,,,,,,,,,,
OKC,OKC @ LAL,01/15/2024,L,240,105,40,96,41.7,15,49,30.6,10,11,90.9,13,27,40,23,11,6,11,18,-7,,,,,,,,,,,,,,,,,,,,,,,,,
PHX,PHX @ POR,01/14/2024,W,240,127,46,76,60.5,13,28,46.4,22,27,81.5,7,34,41,27,7,5,14,20,11,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,DEN vs. IND,01/14/2024,W,240,117,46,71,64.8,10,20,50,15,23,65.2,4,36,40,31,8,3,22,18,8,,,,,,,,,,,,,,,,,,,,,,,,,
IND,IND @ DEN,01/14/2024,L,240,109,43,92,46.7,8,29,27.6,15,22,68.2,14,23,37,28,11,1,13,21,-8,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,MIA vs. CHA,01/14/2024,W,240,104,40,81,49.4,11,25,44,13,16,81.3,4,40,44,27,6,6,14,15,17,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHA @ MIA,01/14/2024,L,240,87,33,95,34.7,10,41,24.4,11,15,73.3,17,33,50,17,5,3,15,17,-17,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,MIN vs. LAC,01/14/2024,W,240,109,38,67,56.7,13,26,50,20,31,64.5,6,35,41,25,8,5,19,23,4,,,,,,,,,,,,,,,,,,,,,,,,,
LAC,LAC @ MIN,01/14/2024,L,240,105,36,83,43.4,17,39,43.6,16,18,88.9,7,27,34,28,9,4,11,24,-4,,,,,,,,,,,,,,,,,,,,,,,,,
MIL,MIL vs. SAC,01/14/2024,W,265,143,48,92,52.2,20,43,46.5,27,32,84.4,4,36,40,31,5,3,14,22,1,,,,,,,,,,,,,,,,,,,,,,,,,
SAC,SAC @ MIL,01/14/2024,L,265,142,55,105,52.4,17,41,41.5,15,20,75,9,38,47,34,6,2,9,19,-1,,,,,,,,,,,,,,,,,,,,,,,,,
POR,POR vs. PHX,01/14/2024,L,240,116,40,89,44.9,20,42,47.6,16,22,72.7,12,24,36,23,8,1,14,21,-11,,,,,,,,,,,,,,,,,,,,,,,,,
NYK,NYK @ MEM,01/13/2024,W,240,106,40,83,48.2,13,38,34.2,13,19,68.4,15,41,56,25,11,11,23,15,12,,,,,,,,,,,,,,,,,,,,,,,,,
LAL,LAL @ UTA,01/13/2024,L,240,125,46,92,50,13,29,44.8,20,24,83.3,7,33,40,30,6,8,12,23,-7,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,BOS vs. HOU,01/13/2024,W,240,145,51,95,53.7,24,47,51.1,19,25,76,10,40,50,26,7,8,12,21,32,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,HOU @ BOS,01/13/2024,L,240,113,40,99,40.4,7,30,23.3,26,30,86.7,15,35,50,20,10,3,13,18,-32,,,,,,,,,,,,,,,,,,,,,,,,,
UTA,UTA vs. LAL,01/13/2024,W,240,132,42,93,45.2,12,37,32.4,36,39,92.3,13,39,52,28,7,5,10,20,7,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,CHI @ SAS,01/13/2024,W,240,122,46,90,51.1,15,34,44.1,15,20,75,7,40,47,31,5,8,9,18,6,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,SAS vs. CHI,01/13/2024,L,240,116,39,95,41.1,18,46,39.1,20,23,87,12,35,47,26,7,4,9,19,-6,,,,,,,,,,,,,,,,,,,,,,,,,
MEM,MEM vs. NYK,01/13/2024,L,240,94,36,87,41.4,9,38,23.7,13,15,86.7,9,26,35,27,14,6,12,16,-12,,,,,,,,,,,,,,,,,,,,,,,,,
NOP,NOP @ DAL,01/13/2024,W,240,118,39,79,49.4,12,30,40,28,37,75.7,14,30,44,29,7,4,11,20,10,,,,,,,,,,,,,,,,,,,,,,,,,
DAL,DAL vs. NOP,01/13/2024,L,240,108,37,82,45.1,15,41,36.6,19,20,95,9,25,34,23,6,1,12,25,-10,,,,,,,,,,,,,,,,,,,,,,,,,
OKC,OKC vs. ORL,01/13/2024,W,240,112,43,94,45.7,8,36,22.2,18,21,85.7,12,34,46,23,9,4,9,19,12,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,ORL @ OKC,01/13/2024,L,240,100,39,84,46.4,7,35,20,15,24,62.5,11,39,50,21,5,8,16,22,-12,,,,,,,,,,,,,,,,,,,,,,,,,
GSW,GSW @ MIL,01/13/2024,L,240,118,47,98,48,15,36,41.7,9,14,64.3,12,29,41,23,5,4,8,16,-11,,,,,,,,,,,,,,,,,,,,,,,,,
MIL,MIL vs. GSW,01/13/2024,W,240,129,51,94,54.3,13,31,41.9,14,17,82.4,14,36,50,33,6,5,12,15,11,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,ATL vs. WAS,01/13/2024,L,240,99,32,93,34.4,11,40,27.5,24,33,72.7,16,34,50,21,9,7,16,20,-28,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,WAS @ ATL,01/13/2024,W,240,127,47,97,48.5,12,32,37.5,21,26,80.8,12,42,54,32,10,9,12,22,28,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,ATL vs. IND,01-12-2024,L,240,108,40,89,44.9,11,30,36.7,17,23,73.9,12,16,28,25,14,2,15,13,-18,,,,,,,,,,,,,,,,,,,,,,,,,
IND,IND @ ATL,01-12-2024,W,240,126,53,79,67.1,11,18,61.1,9,12,75,10,35,45,41,12,9,27,21,18,,,,,,,,,,,,,,,,,,,,,,,,,
SAC,SAC @ PHI,01-12-2024,L,240,93,32,95,33.7,8,38,21.1,21,26,80.8,23,31,54,20,6,4,17,18,-19,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,PHI vs. SAC,01-12-2024,W,240,112,40,93,43,15,35,42.9,17,18,94.4,14,32,46,23,11,9,14,19,19,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,HOU @ DET,01-12-2024,W,240,112,41,90,45.6,8,30,26.7,22,25,88,10,31,41,21,8,5,9,16,2,,,,,,,,,,,,,,,,,,,,,,,,,
DET,DET vs. HOU,01-12-2024,L,240,110,44,88,50,12,35,34.3,10,16,62.5,11,35,46,32,6,9,15,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,
MEM,MEM vs. LAC,01-12-2024,L,240,119,41,95,43.2,18,44,40.9,19,27,70.4,17,29,46,30,5,4,9,21,-9,,,,,,,,,,,,,,,,,,,,,,,,,
LAC,LAC @ MEM,01-12-2024,W,240,128,49,89,55.1,15,31,48.4,15,20,75,11,32,43,22,9,7,12,16,9,,,,,,,,,,,,,,,,,,,,,,,,,
POR,POR @ MIN,01-12-2024,L,240,93,30,77,39,10,28,35.7,23,34,67.6,10,28,38,18,8,5,20,19,-23,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,MIN vs. POR,01-12-2024,W,240,116,44,80,55,11,31,35.5,17,24,70.8,8,37,45,35,14,5,16,23,23,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,ORL @ MIA,01-12-2024,L,240,96,36,82,43.9,12,40,30,12,20,60,10,28,38,26,10,8,13,20,-3,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,MIA vs. ORL,01-12-2024,W,240,99,37,83,44.6,8,26,30.8,17,20,85,12,29,41,23,6,1,17,17,3,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,CHI vs. GSW,01-12-2024,L,240,131,50,86,58.1,18,40,45,13,16,81.3,6,30,36,31,1,3,12,21,-9,,,,,,,,,,,,,,,,,,,,,,,,,
GSW,GSW @ CHI,01-12-2024,W,240,140,49,94,52.1,20,47,42.6,22,30,73.3,13,31,44,39,7,4,5,16,9,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHA @ SAS,01-12-2024,L,240,99,32,89,36,10,34,29.4,25,28,89.3,16,28,44,22,11,3,20,24,-36,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,SAS vs. CHA,01-12-2024,W,240,135,45,87,51.7,18,38,47.4,27,34,79.4,7,38,45,31,9,7,15,20,36,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,TOR @ UTA,01-12-2024,L,240,113,35,81,43.2,17,34,50,26,37,70.3,8,23,31,25,5,8,13,21,-32,,,,,,,,,,,,,,,,,,,,,,,,,
UTA,UTA vs. TOR,01-12-2024,W,240,145,52,93,55.9,21,43,48.8,20,26,76.9,14,42,56,34,7,8,14,23,32,,,,,,,,,,,,,,,,,,,,,,,,,
NOP,NOP @ DEN,01-12-2024,L,240,113,42,89,47.2,13,33,39.4,16,22,72.7,8,27,35,30,9,3,9,10,-12,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,DEN vs. NOP,01-12-2024,W,240,125,50,90,55.6,14,33,42.4,11,15,73.3,10,38,48,30,5,4,17,18,12,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,CLE vs. BKN,01-11-2024,W,240,111,32,82,39,13,44,29.5,34,43,79.1,12,35,47,16,11,6,11,24,9,,,,,,,,,,,,,,,,,,,,,,,,,
BKN,BKN @ CLE,01-11-2024,L,240,102,37,82,45.1,8,27,29.6,20,28,71.4,9,32,41,18,5,4,17,29,-9,,,,,,,,,,,,,,,,,,,,,,,,,
MIL,MIL vs. BOS,01-11-2024,W,240,135,52,92,56.5,18,42,42.9,13,16,81.3,12,42,54,34,3,6,11,22,33,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,BOS @ MIL,01-11-2024,L,240,102,34,91,37.4,9,35,25.7,25,30,83.3,6,25,31,22,5,5,6,13,-33,,,,,,,,,,,,,,,,,,,,,,,,,
OKC,OKC vs. POR,01-11-2024,W,240,139,53,93,57,14,35,40,19,22,86.4,8,51,59,41,6,8,13,10,62,,,,,,,,,,,,,,,,,,,,,,,,,
POR,POR @ OKC,01-11-2024,L,240,77,28,101,27.7,11,49,22.4,10,16,62.5,13,29,42,16,8,8,10,19,-62,,,,,,,,,,,,,,,,,,,,,,,,,
DAL,DAL vs. NYK,01-11-2024,W,240,128,44,88,50,17,41,41.5,23,30,76.7,11,27,38,27,6,2,10,19,4,,,,,,,,,,,,,,,,,,,,,,,,,
NYK,NYK @ DAL,01-11-2024,L,240,124,44,89,49.4,14,42,33.3,22,28,78.6,13,32,45,27,7,2,16,25,-4,,,,,,,,,,,,,,,,,,,,,,,,,
PHX,PHX @ LAL,01-11-2024,W,240,127,46,93,49.5,14,39,35.9,21,23,91.3,13,33,46,23,12,3,13,16,18,,,,,,,,,,,,,,,,,,,,,,,,,
LAL,LAL vs. PHX,01-11-2024,L,240,109,40,80,50,13,34,38.2,16,25,64,7,30,37,33,8,4,18,19,-18,,,,,,,,,,,,,,,,,,,,,,,,,
IND,IND vs. WAS,01-10-2024,W,240,112,41,92,44.6,8,25,32,22,24,91.7,14,40,54,31,7,6,14,22,8,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,WAS @ IND,01-10-2024,L,240,104,38,88,43.2,7,31,22.6,21,30,70,13,33,46,24,8,8,14,23,-8,,,,,,,,,,,,,,,,,,,,,,,,,
UTA,UTA vs. DEN,01-10-2024,W,240,124,46,83,55.4,13,33,39.4,19,23,82.6,7,33,40,34,12,8,17,19,13,,,,,,,,,,,,,,,,,,,,,,,,,
SAC,SAC @ CHA,01-10-2024,W,240,123,46,89,51.7,13,35,37.1,18,23,78.3,14,39,53,24,2,8,10,15,25,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHA vs. SAC,01-10-2024,L,240,98,35,87,40.2,16,38,42.1,12,16,75,8,28,36,17,2,3,10,16,-25,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,SAS @ DET,01-10-2024,W,240,130,49,94,52.1,9,27,33.3,23,27,85.2,10,36,46,36,7,4,5,15,22,,,,,,,,,,,,,,,,,,,,,,,,,
DET,DET vs. SAS,01-10-2024,L,240,108,44,96,45.8,10,32,31.3,10,13,76.9,9,34,43,33,4,3,10,19,-22,,,,,,,,,,,,,,,,,,,,,,,,,
