TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,BOS vs. SAC,04-05-2024,W,240,101,38,89,42.7,12,44,27.3,13,18,72.2,12,39,51,25,6,4,8,11,1,,SAC,SAC @ BOS,04-05-2024,L,240,100,38,99,38.4,17,51,33.3,7,13,53.8,15,39,54,21,4,3,7,15,-1
UTA,UTA @ LAC,04-05-2024,L,240,102,35,91,38.5,9,30,30,23,29,79.3,14,29,43,20,11,4,15,16,-29,,LAC,LAC vs. UTA,04-05-2024,W,240,131,51,91,56,13,35,37.1,16,18,88.9,8,43,51,32,9,4,15,22,29
MIN,MIN @ PHX,04-05-2024,L,240,87,33,85,38.8,10,29,34.5,11,14,78.6,8,36,44,23,9,6,19,20,-10,,PHX,PHX vs. MIN,04-05-2024,W,240,97,33,76,43.4,9,26,34.6,22,29,75.9,7,42,49,29,12,3,18,19,10
DAL,DAL vs. GSW,04-05-2024,W,240,108,40,84,47.6,12,34,35.3,16,21,76.2,8,33,41,30,9,9,18,17,2,,GSW,GSW @ DAL,04-05-2024,L,240,106,41,93,44.1,12,35,34.3,12,18,66.7,11,33,44,27,12,5,15,19,-2
MIL,MIL vs. TOR,04-05-2024,L,240,111,41,94,43.6,12,42,28.6,17,21,81,12,33,45,21,8,6,13,24,-6,,TOR,TOR @ MIL,04-05-2024,W,240,117,36,79,45.6,14,36,38.9,31,36,86.1,9,38,47,24,9,3,17,18,6
CHI,CHI vs. NYK,04-05-2024,W,240,108,44,93,47.3,7,23,30.4,13,16,81.3,19,38,57,27,11,5,17,19,8,,NYK,NYK @ CHI,04-05-2024,L,240,100,36,83,43.4,10,29,34.5,18,24,75,9,29,38,22,9,2,18,15,-8
SAS,SAS @ NOP,04-05-2024,W,240,111,42,83,50.6,17,46,37,10,13,76.9,6,28,34,34,9,8,17,13,2,,NOP,NOP vs. SAS,04-05-2024,L,240,109,44,86,51.2,9,29,31,12,12,100,11,30,41,28,11,2,17,17,-2
HOU,HOU vs. MIA,04-05-2024,L,240,104,34,90,37.8,14,44,31.8,22,25,88,12,33,45,25,7,2,9,13,-15,,MIA,MIA @ HOU,04-05-2024,W,240,119,44,89,49.4,13,36,36.1,18,21,85.7,8,40,48,27,8,4,9,18,15
DET,DET @ MEM,04-05-2024,L,240,90,32,79,40.5,8,30,26.7,18,24,75,10,28,38,22,13,4,18,14,-18,,MEM,MEM vs. DET,04-05-2024,W,240,108,42,90,46.7,10,31,32.3,14,16,87.5,15,34,49,24,13,7,21,14,18
WAS,WAS vs. POR,04-05-2024,L,240,102,38,88,43.2,5,33,15.2,21,30,70,12,33,45,24,9,5,10,21,-6,,POR,POR @ WAS,04-05-2024,W,240,108,41,94,43.6,9,29,31,17,24,70.8,16,39,55,29,7,5,13,23,6
PHI,PHI @ MIA,04-04-2024,W,240,109,43,92,46.7,14,40,35,9,11,81.8,8,33,41,28,11,7,11,15,4,,MIA,MIA vs. PHI,04-04-2024,L,240,105,39,94,41.5,13,43,30.2,14,16,87.5,16,35,51,24,8,4,17,10,-4
DEN,DEN @ LAC,04-04-2024,L,240,100,36,83,43.4,11,35,31.4,17,25,68,6,45,51,27,3,4,14,19,-2,,LAC,LAC vs. DEN,04-04-2024,W,240,102,34,90,37.8,7,33,21.2,27,32,84.4,7,41,48,22,10,2,7,20,2
HOU,HOU vs. GSW,04-04-2024,L,240,110,36,86,41.9,12,40,30,26,30,86.7,12,17,29,23,11,1,12,19,-23,,GSW,GSW @ HOU,04-04-2024,W,240,133,47,80,58.8,17,35,48.6,22,25,88,12,31,43,29,6,2,21,23,23
SAC,SAC @ NYK,04-04-2024,L,240,109,42,86,48.8,18,42,42.9,7,12,58.3,9,26,35,26,6,3,16,23,-11,,NYK,NYK vs. SAC,04-04-2024,W,240,120,44,80,55,12,28,42.9,20,29,69,9,30,39,34,9,2,13,20,11
ATL,ATL @ DAL,04-04-2024,L,240,95,34,85,40,13,38,34.2,14,21,66.7,11,45,56,21,7,2,21,22,-14,,DAL,DAL vs. ATL,04-04-2024,W,240,109,38,94,40.4,18,49,36.7,15,17,88.2,11,42,53,20,7,7,14,17,14
ATL,ATL vs. DET,04-03-2024,W,240,121,49,90,54.4,13,38,34.2,10,15,66.7,6,42,48,36,9,8,16,13,8,,DET,DET @ ATL,04-03-2024,L,240,113,43,94,45.7,10,30,33.3,17,21,81,8,29,37,24,14,3,10,13,-8
POR,POR @ CHA,04-03-2024,W,240,89,37,93,39.8,7,26,26.9,8,12,66.7,14,41,55,19,4,2,16,19,3,,CHA,CHA vs. POR,04-03-2024,L,240,86,32,78,41,5,31,16.1,17,22,77.3,2,34,36,22,10,8,11,15,-3
LAL,LAL @ WAS,04-03-2024,W,240,125,46,91,50.5,8,28,28.6,25,29,86.2,11,38,49,21,10,4,17,10,5,,WAS,WAS vs. LAL,04-03-2024,L,240,120,45,91,49.5,18,42,42.9,12,13,92.3,6,33,39,26,11,4,18,22,-5
IND,IND @ BKN,04-03-2024,L,240,111,46,103,44.7,10,38,26.3,9,11,81.8,19,26,45,27,8,9,9,21,-4,,BKN,BKN vs. IND,04-03-2024,W,240,115,42,87,48.3,12,32,37.5,19,27,70.4,15,35,50,22,4,8,13,16,4
CLE,CLE @ PHX,04-03-2024,L,240,101,39,83,47,7,26,26.9,16,19,84.2,7,30,37,28,9,4,15,14,-21,,PHX,PHX vs. CLE,04-03-2024,W,240,122,44,87,50.6,18,33,54.5,16,17,94.1,8,35,43,32,11,2,16,17,21
NOP,NOP vs. ORL,04-03-2024,L,240,108,36,76,47.4,12,29,41.4,24,28,85.7,7,28,35,21,9,1,14,26,-9,,ORL,ORL @ NOP,04-03-2024,W,240,117,41,80,51.3,13,32,40.6,22,30,73.3,7,32,39,27,9,2,13,20,9
