surface,player1_name,player1_ht,player1_ioc,player1_age,player2_name,player2_ht,player2_ioc,player2_age,score,best_of,round,minutes,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1st_Serve,p1_1stWon,p1_1st_Serve_won,p1_2ndWon,p1_2nd_serve_won,p1_bpSaved,p1_bpFaced,p1_breakpoint_saved,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1st_Serve,p2_1stWon,p2_1st_Serve_won,p2_2ndWon,p2_2nd_serve_won,p2_bpSaved,p2_bpFaced,p2_breakpoint_saved,winner_name
Hard,Jenson Brooksby,188,USA,22.2,Quentin Halys,191,FRA,26.2,7-6(3) 7-6(2),3,QF,114,2,2,82,49,59.75609756,37,75.51020408,18,54.54545455,3,5,60,13,3,75,43,57.33333333,33,76.74418605,16,50,1,3,33.33333333,Jenson Brooksby
Hard,Cameron Norrie,188,GBR,27.3,Marcos Giron,180,USA,29.4,6-1 6-7(5) 6-2,3,QF,123,5,4,88,64,72.72727273,45,70.3125,12,50,5,6,83.33333333,6,0,80,53,66.25,29,54.71698113,14,51.85185185,1,7,14.28571429,Cameron Norrie
Hard,Laslo Djere,188,SRB,27.6,Casper Ruud,183,NOR,24,3-6 6-3 7-6(3),3,R16,127,18,1,98,67,68.36734694,49,73.13432836,21,67.74193548,6,7,85.71428571,10,4,91,62,68.13186813,49,79.03225806,16,55.17241379,3,4,75,Laslo Djere
Hard,Constant Lestienne,180,FRA,30.6,Gregoire Barrere,183,FRA,28.8,1-6 7-6(4) 7-5,3,R16,123,4,6,91,59,64.83516484,43,72.88135593,10,31.25,2,7,28.57142857,7,0,92,64,69.56521739,42,65.625,17,60.71428571,4,8,50,Constant Lestienne
Hard,Richard Gasquet,185,FRA,36.5,Joao Sousa,185,POR,33.7,7-6(2) 6-2,3,R16,97,7,1,60,35,58.33333333,29,82.85714286,16,64,2,2,100,1,4,65,42,64.61538462,29,69.04761905,10,43.47826087,3,5,60,Richard Gasquet
Hard,David Goffin,180,BEL,32,Christopher Eubanks,201,USA,26.6,6-2 6-4,3,R16,80,7,1,59,43,72.88135593,35,81.39534884,6,37.5,6,6,100,12,3,63,45,71.42857143,31,68.88888889,5,27.77777778,6,9,66.66666667,David Goffin
Hard,Quentin Halys,191,FRA,26.2,Ben Shelton,,USA,20.2,6-3 6-2,3,R16,67,10,2,42,32,76.19047619,30,93.75,6,60,0,0,#DIV/0!,8,7,54,35,64.81481481,23,65.71428571,8,42.10526316,4,7,57.14285714,Quentin Halys
Hard,Jenson Brooksby,188,USA,22.2,Diego Schwartzman,170,ARG,30.3,6-1 0-0 RET,3,R16,48,0,0,26,15,57.69230769,11,73.33333333,7,63.63636364,0,0,#DIV/0!,0,1,22,17,77.27272727,8,47.05882353,2,40,2,4,50,Jenson Brooksby
Hard,Marcos Giron,180,USA,29.4,J J Wolf,183,USA,24,6-4 6-4,3,R16,94,3,1,52,37,71.15384615,31,83.78378378,11,73.33333333,2,2,100,7,1,76,47,61.84210526,30,63.82978723,16,55.17241379,7,9,77.77777778,Marcos Giron
Hard,Cameron Norrie,188,GBR,27.3,Jiri Lehecka,185,CZE,21.1,6-4 6-7(4) 6-3,3,R16,165,4,1,98,64,65.30612245,42,65.625,27,79.41176471,3,4,75,6,0,102,68,66.66666667,47,69.11764706,16,47.05882353,8,11,72.72727273,Cameron Norrie
