name,opponent_name,winner,1st_Serve,1st_Serve_won,2nd_Serve_won,1st_Serve_Return_won,2nd_Serve_Return_won,Return_points_won
Grigor Dimitrov,Hubert Hurkacz,TRUE,69.00%,81.60%,63.60%,23.90%,53.60%,35.10%
Gregoire Barrere,Daniel Elahi Galan Riveros,TRUE,68.90%,81.00%,68.40%,26.30%,52.40%,35.60%
Brandon Nakashima,Bernabe Zapata Miralles,TRUE,68.50%,94.60%,52.90%,25.80%,59.10%,39.60%
Dusan Lajovic,Tallon Griekspoor,TRUE,68.40%,84.60%,58.30%,28.10%,62.50%,42.90%
Roman Safiullin,Thiago Seyboth Wild,TRUE,68.30%,78.00%,57.90%,44.80%,47.10%,45.70%
Mackenzie Mcdonald,Corentin Moutet,TRUE,68.30%,79.10%,50.00%,43.90%,50.00%,45.10%
Dominic Thiem,Yannick Hanfmann,FALSE,68.10%,74.20%,55.20%,29.60%,58.30%,38.50%
Hubert Hurkacz,Jan Lennard Struff,TRUE,68.10%,75.00%,60.00%,41.00%,61.50%,49.20%
Nicolas Jarry,Terence Atmane,TRUE,68.10%,93.80%,73.30%,36.60%,47.10%,39.70%
Stefanos Tsitsipas,John Isner,TRUE,68.10%,87.50%,60.00%,34.20%,65.20%,45.90%
Hamad Medjedovic,Jiri Lehecka,TRUE,68.10%,71.40%,56.50%,28.90%,50.00%,34.00%
Jannik Sinner,Daniil Medvedev,TRUE,68.00%,82.40%,70.80%,24.60%,47.60%,30.80%
Lorenzo Musetti,Daniel Evans,TRUE,68.00%,76.50%,68.80%,33.30%,53.60%,43.60%
Carlos Alcaraz Garfia,Grigor Dimitrov,FALSE,67.90%,71.70%,56.00%,27.40%,45.80%,32.60%
Karen Khachanov,Constant Lestienne,TRUE,67.80%,72.50%,68.40%,38.10%,46.20%,41.20%
Ugo Humbert,Yosuke Watanuki,TRUE,67.60%,80.00%,66.70%,44.40%,66.70%,55.60%
Christopher Eubanks,Andres Martin,TRUE,67.40%,89.70%,78.60%,36.40%,55.00%,42.20%
Tallon Griekspoor,Liam Broady,TRUE,67.40%,89.70%,71.40%,29.40%,57.50%,44.60%
Casper Ruud,Christopher Eubanks,TRUE,67.40%,83.90%,73.30%,40.00%,45.00%,41.80%
Jeffrey John Wolf,Dominik Koepfer,TRUE,67.40%,77.40%,60.00%,34.50%,75.00%,48.90%
Novak Djokovic,Carlos Alcaraz Garfia,TRUE,67.30%,81.10%,55.60%,38.30%,66.70%,42.90%
Dino Prizmic,Jiri Lehecka,TRUE,67.20%,82.90%,50.00%,34.80%,54.20%,41.40%
Juncheng Shang,Ben Shelton,TRUE,67.20%,72.10%,66.70%,31.10%,53.80%,39.40%
Pierre Hugues Herbert,Gijs Brouwer,TRUE,67.20%,73.30%,54.50%,27.90%,60.00%,41.10%
Grigor Dimitrov,Karen Khachanov,TRUE,67.10%,85.10%,52.20%,22.40%,53.80%,33.30%
Borna Gojo,Stefanos Tsitsipas,FALSE,67.10%,72.50%,52.00%,21.60%,45.50%,31.00%
Dominic Stephan Stricker,Casper Ruud,TRUE,67.10%,81.80%,63.00%,32.10%,47.70%,37.70%
Marcos Giron,Ben Shelton,FALSE,67.00%,77.50%,48.60%,33.00%,48.40%,37.00%
Novak Djokovic,Andrey Rublev,TRUE,66.90%,73.40%,59.00%,27.30%,42.90%,32.10%
Alexander Shevchenko,Mate Valkusz,TRUE,66.70%,85.40%,50.00%,30.80%,56.30%,40.50%
Alexander Zverev,Grigor Dimitrov,TRUE,66.70%,71.90%,68.80%,22.20%,75.00%,49.10%
Andrey Rublev,Adrian Mannarino,TRUE,66.70%,79.40%,52.90%,50.00%,60.00%,52.50%
Ben Shelton,Taro Daniel,TRUE,66.70%,73.30%,53.30%,28.60%,43.60%,34.70%
Christopher Eubanks,Sho Shimabukuro,TRUE,66.70%,77.50%,55.00%,35.70%,42.10%,38.30%
Dusan Lajovic,Benjamin Bonzi,TRUE,66.70%,72.90%,45.80%,33.30%,62.10%,46.20%
Jiri Lehecka,Max Purcell,TRUE,66.70%,84.10%,50.00%,24.30%,46.90%,34.80%
Karen Khachanov,Roman Safiullin,TRUE,66.70%,72.70%,59.10%,22.50%,54.50%,33.90%
Lloyd George Muirhead Harris,Jiri Vesely,TRUE,66.70%,92.90%,71.40%,25.90%,60.00%,40.40%
Lorenzo Sonego,Abedallah Shelbayh,TRUE,66.70%,80.00%,70.00%,25.60%,59.30%,38.60%
Michael Mmoh,Bradley Klahn,TRUE,66.70%,82.40%,64.70%,33.30%,68.40%,44.30%
Novak Djokovic,Grigor Dimitrov,TRUE,66.70%,81.30%,68.80%,28.60%,57.60%,42.60%
